n_components,explained_var,cumulative_var,marginal_gain
393,0.000736,0.372544,0.000736
394,0.000736,0.373280,0.000736
395,0.000736,0.374015,0.000736
396,0.000736,0.374751,0.000736
397,0.000736,0.375487,0.000736
398,0.000736,0.376222,0.000736
399,0.000736,0.376958,0.000736
400,0.000736,0.377693,0.000736
401,0.000736,0.378429,0.000736
402,0.000736,0.379164,0.000736
403,0.000736,0.379900,0.000736
404,0.000736,0.380635,0.000736
405,0.000736,0.381371,0.000736
406,0.000736,0.382106,0.000736
407,0.000736,0.382842,0.000736
408,0.000736,0.383577,0.000736
409,0.000736,0.384313,0.000736
410,0.000736,0.385049,0.000736
411,0.000736,0.385784,0.000736
412,0.000736,0.386520,0.000736
413,0.000736,0.387255,0.000736
414,0.000736,0.387991,0.000736
415,0.000736,0.388726,0.000736
416,0.000736,0.389462,0.000736
417,0.000736,0.390197,0.000736
418,0.000736,0.390933,0.000736
419,0.000736,0.391668,0.000736
420,0.000736,0.392404,0.000736
421,0.000736,0.393139,0.000736
422,0.000736,0.393875,0.000736
423,0.000736,0.394611,0.000736
424,0.000736,0.395346,0.000736
425,0.000736,0.396082,0.000736
426,0.000736,0.396817,0.000736
427,0.000736,0.397553,0.000736
428,0.000736,0.398288,0.000736
429,0.000736,0.399024,0.000736
430,0.000736,0.399759,0.000736
431,0.000736,0.400495,0.000736
432,0.000736,0.401230,0.000736
433,0.000736,0.401966,0.000736
434,0.000736,0.402701,0.000736
435,0.000736,0.403437,0.000736
436,0.000736,0.404173,0.000736
437,0.000736,0.404908,0.000736
438,0.000736,0.405644,0.000736
439,0.000736,0.406379,0.000736
440,0.000736,0.407115,0.000736
441,0.000736,0.407850,0.000736
442,0.000736,0.408586,0.000736
443,0.000736,0.409321,0.000736
444,0.000736,0.410057,0.000736
445,0.000736,0.410792,0.000736
446,0.000736,0.411528,0.000736
447,0.000736,0.412263,0.000736
448,0.000736,0.412999,0.000736
449,0.000736,0.413735,0.000736
450,0.000736,0.414470,0.000736
451,0.000736,0.415206,0.000736
452,0.000736,0.415941,0.000736
453,0.000736,0.416677,0.000736
454,0.000736,0.417412,0.000736
455,0.000736,0.418148,0.000736
456,0.000736,0.418883,0.000736
457,0.000736,0.419619,0.000736
458,0.000736,0.420354,0.000736
459,0.000736,0.421090,0.000736
460,0.000736,0.421825,0.000736
461,0.000736,0.422561,0.000736
462,0.000736,0.423297,0.000736
463,0.000736,0.424032,0.000736
464,0.000736,0.424768,0.000736
