image_id,exact_match,relation_match,colour_overlap,size_overlap,object_overlap,total_attribute_overlap,gold_parse_ok,pred_parse_ok,semantic_match
228,0,0,2,2,2,6,1,1,1
8148,0,1,2,1,2,5,1,1,0
6998,0,1,1,2,2,5,1,1,1
6898,0,0,2,1,2,5,1,1,0
5870,0,1,2,0,2,4,1,1,0
3522,0,1,2,1,2,5,1,1,0
5564,0,0,2,2,2,6,1,1,1
9690,0,0,2,2,2,6,1,1,1
2945,0,0,2,1,2,5,1,1,0
7484,0,1,2,2,2,6,1,1,1
8279,0,1,2,2,2,6,1,1,1
799,0,0,1,1,2,4,1,1,0
1278,0,1,2,1,2,5,1,1,1
721,0,0,2,0,2,4,1,0,0
2997,0,0,2,1,2,5,1,1,0
6101,0,0,2,1,2,5,1,1,0
5084,0,1,2,1,1,4,1,1,0
1424,0,1,2,2,2,6,1,1,1
580,0,1,2,2,2,6,1,1,1
2184,0,0,2,0,2,4,1,1,0
8839,0,1,2,1,2,5,1,1,0
8558,0,0,2,1,2,5,1,1,0
4051,0,1,2,1,2,5,1,1,0
8526,0,1,2,1,1,4,1,1,1
3523,0,1,2,1,2,5,1,1,0
1505,0,0,1,1,2,4,1,1,0
8805,0,0,2,2,2,6,1,1,1
1378,0,1,2,0,2,4,1,1,0
3149,0,0,1,1,2,4,1,1,0
5188,0,0,2,2,2,6,1,1,0
9822,0,0,2,0,2,4,1,1,0
6064,0,1,2,1,2,5,1,1,0
9741,0,1,2,1,1,4,1,1,0
9966,0,0,2,1,2,5,1,1,0
6909,0,1,2,1,2,5,1,1,0
9616,0,1,2,0,2,4,1,1,0
3395,0,0,2,0,2,4,1,1,0
9964,0,0,2,1,2,5,1,1,1
5866,0,1,1,0,2,3,1,1,0
345,0,0,2,2,2,6,1,1,1
351,0,0,2,2,2,6,1,1,1
8051,0,1,2,0,2,4,1,1,0
9717,0,1,2,1,2,5,1,1,1
2097,0,0,2,2,2,6,1,1,1
1308,0,0,2,2,2,6,1,1,1
2320,0,0,2,1,2,5,1,1,0
523,0,1,2,0,1,3,1,1,0
9136,0,0,2,2,2,6,1,1,0
3468,0,1,1,1,2,4,1,1,0
1005,0,0,2,1,2,5,1,1,1
2274,0,1,2,1,2,5,1,1,0
6013,0,0,1,1,2,4,1,1,1
764,0,1,2,1,2,5,1,1,0
6962,0,0,2,2,2,6,1,1,1
2329,0,1,2,1,2,5,1,1,0
8067,0,1,1,1,2,4,1,1,1
6822,0,0,2,1,2,5,1,1,0
6409,0,0,2,1,2,5,1,1,0
6700,0,1,2,1,2,5,1,1,0
1933,0,0,2,2,2,6,1,1,1
3978,0,0,2,1,2,5,1,1,1
8841,0,1,2,0,1,3,1,1,0
7293,0,1,2,1,2,5,1,1,0
6882,0,1,2,1,2,5,1,1,0
3112,0,1,2,1,2,5,1,1,0
4955,0,0,2,1,2,5,1,1,0
6285,1,1,2,1,1,4,1,1,1
2710,0,0,1,2,2,5,1,1,1
612,0,1,2,1,1,4,1,1,1
5984,0,0,1,1,2,4,1,1,0
8271,0,1,2,0,2,4,1,1,0
3410,0,0,2,0,2,4,1,1,0
5000,0,1,2,1,2,5,1,1,0
1234,0,1,2,1,2,5,1,1,0
4224,0,1,2,1,1,4,1,1,0
7164,0,0,2,1,2,5,1,1,0
8263,1,1,2,1,2,5,1,1,1
1525,0,1,2,1,2,5,1,1,0
8013,0,0,2,1,2,5,1,1,1
892,0,1,2,2,2,6,1,1,1
5374,0,1,2,1,2,5,1,1,0
1596,0,0,2,1,2,5,1,1,0
1923,0,1,1,2,2,5,1,1,1
2250,0,0,2,1,2,5,1,1,0
2383,0,0,2,2,2,6,1,1,1
3754,0,0,2,1,2,5,1,1,0
8080,0,1,2,1,2,5,1,1,0
